"id","name","lon","lat"
"71513019",Station Kollarzgasse,16.424399,48.285276
"165063889",Station virtuell - M Landsberger Allee/Rhinstraße,13.51801,52.53525
"165101561",Station virtuell - Möllendorffstraße/Kielblockstraße,13.478159,52.502896
"148313508",Station P2 - Kateřinská,14.42812,50.07518
"107255945",Station virtuell - S Messe Süd,13.270056,52.499139
"1360784",Station Stacyjna - PKP,14.67039,53.39176
"53552052",Station Ulica Mesta Grevenbroich - Drapšinova ul.,15.264333,46.24237
"882519",Station Al. Księżnej Jadwigi Śląskiej,18.9679,50.284215
"29088589",Station Berufsbildende Schule,8.122887,49.206573
"132214295",Station virtuell - Pillauer Straße/Marchlewskistraße,13.447346,52.510188
"27581521",Station Nad Terasou ,18.452721,49.776171
"2585273",Station Bielany-Ratusz,20.94813,52.276877
"179479563",Station Mestský úrad,17.397143,48.219929
"194727778",Station virtuell - Wrangelstraße (129),13.43015,52.503507
"109232028",Station Virtual /Atlantika bay bus station,33.152671,34.713771
"2431724",Station Ärztehaus - Bebelstr.,8.350543,49.638927
"116150025",Station virtuell - EDEKA Ritterstraße,13.403578,52.503448
"139349952",Station virtuell - Steinplatz (West),13.325418,52.509084
"9799784",Station Węzeł Marki - S8,21.09173,52.30724
"42063925",Station HLUČÍN-Staré rovniny - u vodárny,18.203646,49.892722
"57585948",Station Roche - Tor 4,8.480346,49.531124
"2585960",Station Namysłowska - Darwina,21.03122,52.26554
"27583041",Station P1-Metro Muzeum 2,14.43194,50.0792
"137172825",Station virtuell - Germaniapromenade/Friedrichsbrunner Straße,13.429857,52.460141
"66285",Station Mödling / WIFI,16.302579,48.071082
"91755522",Station 49 PLAÇA DE LA REINA,2.646278,39.568611
"29758322",Station Pouchov - restaurace,15.848166,50.231024
"2528336",Station Open University - St Michaels Drive,-0.70896,52.02408
"143522793",Station Rheinenergie Stadion 1 (R),6.87595,50.931926
"122429336",Station Reuterweg/ Grüneburgweg,8.670169,50.121751
"33409348",Station 86194 Histor. Wasserwerk,10.93471,48.34725
"135960654",Station virtuell - Kleine Rosenthaler Straße/Auguststraße,13.403303,52.528132
"203497721",Station Achern Illenauwiesen,8.079911,48.626505
"92061992",Station Durďákova / Tomanova,16.61852,49.20713
"116148206",Station virtuell - EDEKA Bergmannstraße,13.388745,52.489755
"37556746",Station Sućidar - zapad,16.459553,43.513602
"13410853",Station JIH-Svornosti (MHD),18.235155,49.784009
"26805691",Station MELUND / Olympia-Hochhaus,10.131611,54.35525
"110460648",Station Königstraße,7.278873,50.777143
"60673697",Station VIA SPINO,9.66983,45.68125
"7434",Station Wiener Neudorf / Haltestelle,16.31429,48.087561
"5538437",Station Saint Nikolas RoundAbout,33.053581,34.686484
"13364548",Station SL-ZOO Ostrava,18.319074,49.843512
"94507547",Station Pinhoe Train Station,-3.469641,50.737759
"170863984",Station virtuell - David-Francke-Straße/Hugo-Cassirer-Straße,13.218582,52.557785
